級別,單字,屬性,中文
1,call,v./n.,稱呼
1,camera,n.,相機
1,camp,n./v.,營
1,can,aux./n./v.,能
1,cap,n./v.,帽子
1,car,n.,車
1,card,n.,卡片
1,care,n./v.,關心
1,careful,adj.,小心
1,carrot,n.,紅蘿蔔
1,carry,v.,攜帶
1,case,n./v.,案件
1,cat,n.,貓
1,catch,v./n.,抓住
1,celebrate,v.,慶祝
1,cellphone,n.,智慧型手機
1,cent,n.,分
1,center,n.,中心
1,certain,adj./pron.,肯定
1,chair,n./v.,椅子
1,chance,n./v.,機會
1,change,n./v.,改變
1,cheap,adj./adv.,便宜的
1,check,v./n.,查看
1,cheese,n.,起司
1,chicken,n.,雞
1,child,n.,孩子
1,chocolate,n.,巧克力
1,choice,n./adj.,選擇
1,choose,v.,選擇
1,church,n.,教會
1,circle,n./v.,圓圈
1,city,n.,城市
1,class,n./v.,班級
1,clean,adj./v./adv./n.,乾淨的
1,clear,adj./v./adv.,清除
1,clerk,n.,職員
1,climb,v./n.,爬
1,clock,n.,鐘
1,close,adj./adv./v./n.,關閉
1,clothes,n.,衣服
1,cloud,n.,雲
1,club,n./v.,俱樂部
1,coat,n./v.,外套
1,coffee,n.,咖啡
1,cold,adj./n.,寒冷的
1,collect,v.,收集
1,color,n./v.,顏色
1,come,v.,來
1,comfortable,adj.,舒服的
1,common,adj./n.,常見的
1,computer,n.,電腦
1,convenient,adj.,方便的
1,cook,v./n.,廚師
1,cookie,n.,餅乾
1,cool,adj./v./n.,涼爽的
1,copy,n./v.,複製
1,corner,n.,角落
1,correct,adj./v.,正確的
1,cost,n./v.,成本
1,couch,n./v.,長椅
1,count,v./n.,數數
1,country,n.,國家
1,course,n./v.,課程
1,cousin,n.,表哥
1,cover,v./n.,覆蓋
1,cow,n.,乳牛
1,crazy,adj.,瘋狂的
1,cross,n./v.,叉
1,cry,v./n.,哭
1,cup,n.,杯子
1,cut,v./n.,切
1,cute,adj.,可愛的
1,dance,n./v.,舞蹈
1,dangerous,adj.,危險的
1,dark,adj./n.,黑暗的
1,date,n./v.,日期
1,daughter,n.,女兒
1,day,n.,天
1,dead,adj.,死的
1,deal,n./v.,交易
1,dear,adj./n./adv.,親愛的
1,death,n.,死亡
1,decide,v.,決定
1,deep,adj./adv.,深的
1,define,v.,定義
1,desk,n.,桌子
1,dictionary,n.,字典
1,die,v.,死
1,different,adj.,不同的
1,difficult,adj.,難的
1,dig,v./n.,挖
1,dinner,n.,晚餐
1,dirty,adj./v.,骯髒的
1,dish,n./v.,盤子
1,do,aux./v.,做
1,doctor/doc,n.,醫生/醫生
1,dog,n.,狗
1,doll,n.,玩具娃娃
1,dollar,n.,美元
1,door,n.,門
1,down,adv./prep./adj./n./v.,向下
1,dozen,n.,打
1,draw,v./n.,畫
1,dream,n./v.,夢
1,dress,n./v.,裙子
1,drink,v./n.,喝
1,drive,v./n.,駕駛
1,driver,n.,司機
1,drop,v./n.,降低
1,drum,n./v.,鼓
1,dry,adj./v.,乾燥
1,duck,n./v.,鴨子
1,during,prep.,期間
1,each,pron./adj./adv.,每個
1,ear,n.,耳朵
1,early,adj./adv.,早期的
1,earth,n.,地球
1,east,n./adj./adv.,東方
1,easy,adj.,簡單的
1,eat,v.,吃
1,egg,n.,蛋
1,either,adv./pron./adj./conj.,任何一個
1,elephant,n.,大象
1,else,adv.,別的
1,email,n./v.,電子郵件
1,end,n./v.,結尾
1,engineer,n.,工程師
1,enjoy(ment),v./(n.),享受）
1,enough,adv./adj./n.,足夠的
1,enter,v.,進入
1,envelope,n.,信封
1,eraser,n.,橡皮
1,error,n.,錯誤
1,even,adv./adj./v.,甚至
1,evening,n.,晚上
1,ever,adv.,曾經
1,every,adj.,每一個
1,everyone/everybody,pron.,每個人/每個人
1,everything,pron.,一切
1,example,n.,例子
1,excellent,adj.,出色的
1,except,prep./conj.,除了
1,excited,adj.,興奮的
1,exciting,adj.,令人興奮的
1,exercise,n./v.,鍛鍊
1,expect,v.,預計
1,expensive,adj.,昂貴的
1,experience,n./v.,經驗
1,explain,v.,解釋
1,eye,n.,眼睛
1,face,n./v.,臉
1,fact,n.,事實
1,factory,n.,工廠
1,fail,v./n.,失敗
1,fall,n./v.,落下
1,family,n.,家庭
1,famous,adj.,著名的
1,fan,n./v.,扇子
1,far,adv./adj.,遠的
1,farm,n./v.,農場
1,farmer,n.,農民
1,fast,adv./adj.,快速地
1,fat,n./adj.,胖的
1,father,n.,父親
1,feed,v./n.,餵食
1,feel,v./n.,感覺
1,festival,n.,節慶
1,few,adj./pron.,很少
1,fight,v./n.,鬥爭
1,file,n./v.,文件
1,fill,v./n.,充滿
1,finally,adv.,最後
1,find,v./n.,尋找
1,fine,adj./adv./v./n.,美好的
1,finger,n./v.,手指
1,finish,v./n.,結束
1,fire,n./v.,火
1,first,n./adv./adj.,第一的
1,fish,n./v.,魚
1,floor,n./v.,地面
1,flower,n./v.,花
1,fly,v./n.,飛
1,follow,v.,跟隨
1,food,n.,食物
1,fool,n./v.,傻子
1,foot,n./v.,腳
1,for,prep./conj.,為了
1,foreign,adj.,外國的
1,foreigner,n.,外國人
1,forget,v.,忘記
1,fork,n.,叉
1,free,adj./v./adv.,自由的
1,fresh,adj.,新鮮的
1,friend,n.,朋友
1,friendly,adj.,友善的
1,frog,n.,青蛙
1,from,prep.,從
1,front,adj./n.,正面
1,fruit,n.,水果
1,full,adj.,滿的
1,fun,n.,樂趣
1,funny,adj.,有趣的
1,future,n./adj.,未來
1,game,n.,遊戲
1,garden,n./v.,花園
1,gate,n.,門
1,get,v.,得到
1,ghost,n.,鬼
1,giant,adj./n.,巨大的
1,gift,n.,禮物
1,girl,n.,女孩
1,give,v.,給
1,glad,adj.,高興的
1,glass,n.,玻璃
1,glasses,n.,眼鏡
1,glove(s),n.,手套）
1,go,v./n.,去
1,god/goddess,n.,男神/女神
1,good,adj./adv./n.,好的
1,goodbye,n.,再見
1,grade,n./v.,年級
1,grandfather,n.,祖父
1,grandmother,n.,祖母
1,grass,n.,草
1,gray,adj./n./v.,灰色的
1,great,adj./n.,偉大的
1,green,adj./n./v.,綠色的
1,ground,n./v.,地面
1,group,n./v.,團體
1,grow,v.,生長
1,guess,v./n.,猜測
1,guitar,n.,吉他
1,guy,n.,傢伙
1,habit,n.,習慣
1,hair,n.,頭髮
1,half,n./adv./adj.,一半
1,ham,n.,火腿
1,hand,n./v.,手
1,hang,v.,懸掛
1,happen,v.,發生
1,happy,adj.,快樂的
1,hard,adj./adv.,難的
1,hat,n.,帽子
1,hate,v./n.,恨
1,have,aux./v.,有
1,"he (him, his, himself)",pron.,他（他，他的，他自己）
1,head,n./v.,頭
1,headache,n.,頭痛
1,health,n.,健康
1,healthy,adj.,健康
1,hear,v.,聽到
1,heart,n.,心
1,heat,n./v.,熱
1,heavy,adj.,重的
1,height,n.,高度
1,hello,n.,你好
1,help,v./n.,幫助
1,helpful,adj.,有幫助的
1,hen,n.,母雞
1,here,adv./n.,這裡
1,hide,v.,隱藏
1,high,adj./adv./n.,高的
1,hill,n.,爬坡道
1,history,n.,歷史
1,hit,v./n.,打
1,hobby,n.,嗜好
1,hold,v./n.,抓住
1,holiday,n.,假期
1,home,n./adv./v./adj.,家
1,homework,n.,家庭作業
1,honest,adj.,誠實的
1,honey,n.,蜂蜜
1,hope,v./n.,希望
1,horse,n.,馬
1,hospital,n.,醫院
1,hot,adj.,熱的
1,hotel,n.,飯店
1,hour,n.,小時
1,house,n./v.,房子
1,housewife,n.,家庭主婦
1,how,adv.,如何
1,however,adv.,然而
1,hundred,n./adj.,百
1,hungry,adj.,飢餓的
1,hurt,v./n.,傷害
1,husband,n.,丈夫
1,"I (me, my, mine, myself)",pron.,我（我，我的，我的，我自己）
1,ice,n.,冰
1,idea,n.,主意
1,if,conj.,如果
1,important,adj.,重要的
1,in,prep./adv./adj.,在
1,inch,n.,英吋
1,insect,n.,昆蟲
1,inside,prep./adv./n./adj.,裡面
1,interest,n./v.,興趣
1,interested,adj.,有興趣的
1,interesting,adj.,有趣的
1,interview,n./v.,面試
1,into,prep.,進入
1,invite,v.,邀請
1,island,n.,島
1,"it (its, itself)",pron.,它（它的，它本身）
1,item,n.,物品
1,jacket,n.,夾克
1,jeans,n.,牛仔褲
1,job,n.,工作
1,join,v./n.,加入
1,joke,n./v.,開玩笑
1,joy,n.,喜悅
1,juice,n.,汁
1,jump,v./n.,跳
1,just,adv./adj.,只是
1,keep,v./n.,保持
1,key,adj./n./v.,鑰匙
1,kick,v./n.,踢
1,kid,n./v.,孩子
1,kill,v./n.,殺
1,kind,adj./n.,種類
1,king,n.,國王
1,kiss,n./v.,吻
1,kitchen,n.,廚房
1,kite,n.,風箏
1,knee,n./v.,膝蓋
1,knife,n./v.,刀
1,knock,v./n.,敲
1,know,v.,知道
1,knowledge n. lake,n.,知識湖
1,lamp,n.,燈
1,land,n./v.,土地
1,language,n.,語言
1,large,adj.,大的
1,last,n./v./adv./adj.,最後的
1,late,adj./adv.,晚的
1,later,adv.,之後
1,laugh,v./n.,笑
1,lawyer,n.,律師
1,lazy,adj.,懶惰的
1,lead,v./n.,帶領
1,leader,n.,領導者
1,learn,v.,學習
1,least,adv./pron./adj.,至少
1,leave,v./n.,離開
1,left,adj./n./adv.,左邊
1,leg,n.,腿
1,lemon,n.,檸檬
1,less,pron./adv./adj./prep.,較少的
1,lesson,n.,課
1,let,v.,讓
1,letter,n.,信
1,level,n./adj.,等級
1,library,n.,圖書館
1,lie,v./n.,說謊
1,life,n.,生活
1,light,n./adj./v./adv.,光
1,like,prep./v./n.,喜歡
1,line,n./v.,線
1,lion,n.,獅子
1,lip,n.,唇
1,list,n./v.,清單
1,listen,v.,聽
1,little,adj./adv./n.,小的
1,live,v./adj.,居住
1,lonely,adj.,孤獨
1,long,adj./adv./v.,長的
1,look,v./n.,看
1,lose,v.,失去
1,lot,n.,很多
1,loud,adv./adj.,大聲
1,love,n./v.,愛
1,lovely,adj.,迷人的
1,low,adj./adv./n.,低的
1,lucky,adj.,幸運的
1,lunch,n./v.,午餐
1,machine,n./v.,機器
1,mad,adj.,瘋狂的
1,magic,adj./n.,魔法
1,mail,n./v.,郵件
1,main,adj./n.,主要的
1,make,v.,製作
1,man,n./v.,男人
1,many,adj./pron.,許多
1,map,n./v.,地圖
1,mark,n./v.,標記
1,market,n./v.,市場
1,married,adj.,已婚
1,mathematics/math,n.,數學/數學
1,matter,n./v.,事
1,may,aux.,可能
1,maybe,adv.,或許
1,meal,n.,一頓飯
1,mean,v./adj.,意思是
1,meat,n.,肉
1,media,n.,媒體
1,medicine,n.,藥物
1,medium,adj.,中等的
1,meet,v.,見面
1,meeting,n.,會議
1,member,n.,成員
1,menu,n.,選單
1,middle,adj./n.,中間
1,milk,n.,牛奶
1,million,n.,百萬
1,mind,n./v.,頭腦
1,mine,n./v.,礦
1,minute,n.,分分鐘
1,miss,v./n.,錯過
1,mistake,n./v.,錯誤
1,modern,adj.,現代的
1,moment,n.,片刻
1,money,n.,錢
1,monkey,n.,猴
1,month,n.,月
1,moon,n.,月亮
1,more,adj./pron./adv.,更多的
1,morning,n.,早晨
1,most,adv./pron./adj.,最多
1,mother,n.,母親
1,mountain,n.,山
1,mouse,n.,老鼠
1,mouth,n./v.,嘴
1,move(ment),v./(n.),移動）
1,movie/film,n.,電影/電影
1,Mr./Mister,n.,先生/先生
1,Mrs.,n.,太太。
1,Ms.,n.,多發性硬化症。
1,much,adj./pron./adv.,很多
1,mud,n.,土
1,museum,n.,博物館
1,music,n.,音樂
1,must,aux./n.,必須
1,name,n./v.,姓名
1,national,adj.,國家的
1,nature,n.,自然
1,near,prep./adj./adv./v.,靠近
1,neck,n.,脖子
1,need,v./n./aux.,需要
1,net,n./v.,網
1,never,adv.,絕不
1,new,adj.,新的
1,news,n.,訊息
1,newspaper,n.,報紙
1,next,adj./adv.,下一個
1,nice,adj.,好的
1,night,n.,夜晚
1,no/nope,adj./adv./n.,不/不
1,nobody,pron./n.,沒有人
1,noise,n.,噪音
1,noisy,adj.,吵雜
1,noon,n.,中午
1,north,n./adj./adv.,北
1,nose,n.,鼻子
1,not,adv.,不是
1,note,n./v.,筆記
1,nothing,pron./n.,沒有什麼
1,notice,v./n.,注意
1,now,adv./n.,現在
1,number,n./v.,數位
1,nurse,n./v.,護士
1,O.K./OK/okay,adj./adv./n./v.,好的/好的/好的
1,o’clock,adv.,點鐘
1,of,prep.,的
1,off,adv./prep./adj.,離開
1,office,n.,辦公室
1,officer,n.,官
1,often,adv.,常
1,oil,n./v.,油
1,old,adj.,老的
1,on,prep./adv.,在
1,once,adv./conj./n.,一次
1,online,adj.,在線的
1,only,adv./adj./conj.,僅有的
1,open,adj./v.,打開
1,or,conj.,或者
1,orange,adj./n.,橘子
1,order,n./v.,命令
1,other,adj./pron.,其他
1,out,adv./prep./adj./n./v.,出去
1,outside,prep./adv./adj./n.,外部
1,over,prep./adv.,超過
1,own,adj./pron./v.,自己的
1,pack,n./v.,盒
1,package,n.,包裹
1,page,n.,頁
1,paint,n./v.,畫
1,pair,n.,一對
1,pants,n.,褲子
1,paper,n./v.,紙
1,parent(s),n.,父母）
1,park,n./v.,公園
1,part,n./v.,部分
1,party,n./v.,派對
1,pass,v./n.,經過
1,past,adj./n./prep./adv.,過去的
1,pay(ment),v./(n.),支付）
1,pen,n./v.,筆
1,pencil,n.,鉛筆
1,people,n./v.,人們
1,perhaps,adv.,也許
1,person,n.,人
1,pet,n./v.,寵物
1,photograph/photo,n./v.,照片/照片
1,piano,n.,鋼琴
1,pick,v./n.,挑選
1,picnic,n./v.,野餐
1,picture,n./v.,圖片
1,pie,n.,派
1,piece,n./v.,片
1,pig,n./v.,豬
1,pin,n./v.,別針
1,pink,adj./n.,粉紅色的
1,pipe,n./v.,管道
1,place,n./v.,地方
1,plan,n./v.,計劃
1,planet,n.,行星
1,plant,n./v.,植物
1,plate,n.,盤子
1,play,v./n.,玩
1,player,n.,玩家
1,please,v.,請
1,pleasure,n.,樂趣
1,pm/p.m.,adv.,下午/下午
1,pocket,n./v.,口袋
1,point,n./v.,觀點
1,police,n./v.,警察
1,polite,adj.,有禮貌的
1,pond,n.,池塘
1,pool,n./v.,水池
1,poor,adj.,貧窮的
1,popcorn,n.,爆米花
1,popular,adj.,受歡迎的
1,possible,adj.,可能的
1,pot,n./v.,鍋
1,potato,n.,馬鈴薯
1,power,n./v.,力量
1,practice,n./v.,實踐
1,prepare,v.,準備
1,present,adj./n./v.,展示
1,pretty,adv./adj.,漂亮的
1,price,n./v.,價格
1,probably,adv.,大概
1,problem,n.,問題
1,program,n./v.,程式
1,proud,adj.,自豪的
1,public,adj./n.,民眾
1,pull,v./n.,拉
1,push,v./n.,推
1,put,v.,放
1,quarter,n.,四分之一
1,queen,n.,女王
1,question,n./v.,問題
1,quick,adj./adv.,快的
1,quiet,adj./n./v.,安靜的
1,quite,adv.,相當
1,rabbit,n.,兔子
1,race,n./v.,種族
1,radio,n./v.,收音機
1,rain,n./v.,雨
1,rainbow,n.,彩虹
1,rainy,adj.,下雨的
1,raise,v./n.,增加
1,reach,v./n.,抵達
1,read,v.,讀
1,ready,adj./v.,準備好
1,real,adj.,真實的
1,really,adv.,真的
1,reason,n./v.,原因
1,red,adj./n.,紅色的
1,relative,adj./n.,相對的
1,remember,v.,記住
1,repeat,v.,重複
1,report,n./v.,報告
1,reporter,n.,記者
1,rest,n./v.,休息
1,restaurant,n.,餐廳
1,rice,n.,米
1,rich,adj.,富有的
1,ride,n./v.,騎
1,right,adv./adj./n.,正確的
1,ring,n./v.,戒指
1,rise,n./v.,上升
1,river,n.,河
1,road,n.,路
1,robot,n.,機器人
1,rock,n./v.,岩石
1,roll,v./n.,卷
1,room,n./v.,房間
1,root,n.,根
1,rope,n.,繩索
1,rose,n.,玫瑰
1,round,adj./n./adv./prep./v.,圓形的
1,row,n./v.,排
1,rule,n./v.,規則
1,ruler,n.,統治者
1,run,v.,跑步
1,sad,adj.,傷心
1,safe,adj./n.,安全的
1,salad,n.,沙拉
1,sale,n.,銷售
1,salt,n./v./adj.,鹽
1,same,adj./pron./adv.,相同的
1,save,v.,節省
1,say,v.,說
1,school,n./v.,學校
1,science,n.,科學
1,sea,n.,海
1,season,n.,季節
1,seat,n./v.,座位
1,second,adj./n./adv.,第二
1,secretary,n.,秘書
1,see,v.,看
1,seed,n.,種子
1,sell,v.,賣
1,send,v.,傳送
1,sentence,n./v.,句子
1,serious,adj.,嚴肅的
1,service,n.,服務
1,set,v./n.,放
1,several,adj./pron.,一些
1,shake,v./n.,搖
1,shall,aux.,將
1,shape,n.,形狀
1,share,v./n.,分享
1,sharp,adj./adv.,鋒利的
1,"she (her, hers, herself)",pron.,她（她的，她的，她自己）
1,sheep,n.,羊
1,ship,n./v.,船
1,shirt,n.,襯衫
1,shoe(s),n.,鞋）
1,shop,n./v.,店鋪
1,short,adj.,短的
1,shorts,n.,短褲
1,shoulder,n.,肩膀
1,shout,v./n.,喊
1,show,v./n.,展示
1,shower,n./v.,淋浴
1,sick,adj.,生病的
1,side,n.,邊
1,sight,n./v.,視線
1,sign,n./v.,符號
1,simple,adj.,簡單的
1,since,conj./prep./adv.,自從
1,sing,v.,唱歌
1,singer,n.,歌手
1,sir,n.,先生
1,sister,n.,姊姊
1,sit,v.,坐
1,size,n./v.,尺寸
1,skirt,n.,裙子
1,sky,n.,天空
1,sleep,n./v.,睡覺
1,slim,adj.,苗條的
1,slow,adj./v./adv.,慢的
1,small,adj./n./adv.,小的
1,smart,adj.,聰明的
1,smell,n./v.,聞
1,smile,n./v.,微笑
1,smoke,n./v.,抽煙
1,snake,n./v.,蛇
1,snow,n./v.,雪
1,so,adv./conj.,所以
1,sofa,n.,沙發
1,soldier,n.,士兵
1,some,adj./pron.,一些
1,someone/somebody,pron./n.,某人/某人
1,something,pron./n.,某物
1,sometimes,adv.,有時
1,somewhere,adv.,某處
1,son,n.,兒子
1,song,n.,歌曲
1,soon,adv.,很快
1,sore,adj./n.,瘡
1,sorry,adj.,對不起
1,sound,n.,聲音
1,soup,n.,湯
1,south,n./adj./adv.,南
1,space,n./v.,空間
1,speak,v.,說話
1,special,adj.,特別的
1,spell,v.,拼字
1,spend,v.,花費
1,spring,n./v.,春天
1,square,n./adj.,方塊
1,stair,n.,樓梯
1,stand,v./n.,站立
1,star,n./v.,星星
1,start,v./n.,開始
1,station,n.,車站
1,stay,v./n.,停留
1,still,adv./adj.,仍然
1,stop,v./n.,停止
1,store,n./v.,店鋪
1,story,n.,故事
1,straight,adv./adj./n.,直的
1,strange,adj.,奇怪的
1,street,n.,街道
1,string,n.,細繩
1,strong,adj.,強的
1,student,n.,學生
1,study,n./v.,學習
1,stupid,adj.,愚蠢的
1,subject,n.,主題
1,successful,adj.,成功的
1,sugar,n.,糖
1,sun,n./v.,太陽
1,sunny,adj.,陽光明媚
1,supermarket,n.,超市場
1,sure,adj./adv.,當然
1,surprise,n./v.,驚喜
1,surprised,adj.,驚訝
1,sweet,adj.,甜的
1,table,n.,桌子
1,tail,n.,尾巴
1,take,v.,拿
1,talk,v./n.,演講
1,tall,adj.,高的
1,tape,n.,磁帶
1,taste,n./v.,品嚐
1,taxicab/taxi/cab,n.,出租車/出租車/出租車
1,tea,n.,茶
1,teach,v.,教
1,teacher,n.,老師
1,team,n./v.,團隊
1,teenager,n.,青少年
1,telephone/phone,n./v.,電話/電話
1,television/TV,n.,電視/電視
1,tell,v.,告訴
1,temple,n.,寺廟
1,tennis,n.,網球
1,terrible,adj.,糟糕的
1,test,n./v.,測試
1,than,conj./prep.,比
1,thank,v./n.,感謝
1,that,conj./pron./adv./adj.,那
1,the,art.,這
1,theater,n.,劇院
1,then,adv./adj.,然後
1,there,adv./n.,那裡
1,these,pron./adj.,這些
1,"they (them, their, theirs, themselves)",pron.,他們（他們，他們的，他們的，他們自己）
1,thick,adj.,厚的
1,thin,adj.,薄的
1,thing,n.,事物
1,think,v.,思考
1,third,adj./n./adv.,第三
1,this,pron./adv./adj.,這
1,those,pron./adj.,那些
1,though,conj./adv.,儘管
1,thousand,n./adj.,千
1,throat,n.,喉
1,through,prep./adv.,透過
1,throw,v./n.,丟
1,ticket,n.,票
1,tidy,adj./v.,整齊的
1,tie,n./v.,領帶
1,tiger,n.,老虎
1,time,n./v.,時間
1,tip,n./v.,提示
1,tired,adj.,疲勞的
1,to,prep.,到
1,today,adv./n.,今天
1,toe,n.,腳趾
1,together,adv.,一起
1,toilet,n.,洗手間
1,tomato,n.,番茄
1,tomorrow,adv./n.,明天
1,tonight,adv./n.,今晚
1,too,adv.,也
1,tool,n.,工具
1,tooth,n.,齒
1,top,n./adj./v.,頂部
1,topic,n.,話題
1,total,adj./n./v.,全部的
1,touch,n./v.,觸碰
1,towel,n./v.,毛巾
1,town,n.,鎮
1,toy,n.,玩具
1,traffic,n./v.,交通
1,train,n./v.,火車
1,treat,v.,對待
1,tree,n.,樹
1,trip,n./v.,旅行
1,trouble,n./v.,麻煩
1,truck,n.,卡車
1,try,v./n.,嘗試
1,T-shirt,n.,T恤
1,turn,v./n.,轉動
1,twice,adv.,兩次
1,type,n./v.,類型
1,uncle,n.,叔叔
1,under,prep./adv.,在下面
1,understand,v.,理解
1,uniform,n.,制服
1,until,conj./prep.,直到
1,up,adv./prep./adj./v./n.,向上
1,use,v./n.,使用
1,useful,adj.,有用
1,usually,adv.,通常
1,vegetable,n.,蔬菜
1,very,adv.,非常
1,video,n./v./adj.,影片
1,violin,n.,小提琴
1,visit,v./n.,訪問
1,visitor,n.,遊客
1,voice,n.,嗓音
1,wait,v./n.,等待
1,wake,v.,喚醒
1,walk,v./n.,走
1,wall,n.,牆
1,want,v./n.,想
1,warm,adj./v.,溫暖的
1,watch,v./n.,手錶
1,water,n./v.,水
1,wave,n./v.,海浪
1,way,n.,方式
1,"we (us, our, ours, ourselves)",pron.,我們（我們，我們的，我們的，我們自己）
1,weak,adj.,虛弱的
1,wear,v.,穿
1,weather,n./v.,天氣
1,week,n.,星期
1,weekend,n./v.,週末
1,welcome,v./adj./n.,歡迎
1,well,adv./adj./n.,出色地
1,west,n./adj./adv.,西方
1,wet,adj./v.,濕的
1,what,pron./adj.,什麼
1,when,adv./conj./pron.,什麼時候
1,where,conj./adv./pron./n.,在哪裡
1,whether,conj.,無論
1,which,pron./adj.,哪個
1,while,conj./n./v.,儘管
1,white,adj./n.,白色的
1,who,pron.,世界衛生組織
1,whose,pron.,誰
1,why,adv./n.,為什麼
1,wide,adj./adv.,寬的
1,wife,n.,妻子
1,will,aux./n.,將要
1,win,v./n.,贏
1,wind,n./v.,風
1,window,n.,窗戶
1,wise,adj.,明智的
1,wish,v./n.,希望
1,with,prep.,和
1,without,prep./adv.,沒有
1,woman,n.,女士
1,wonderful,adj.,精彩的
1,word,n.,單字
1,work,n./v.,工作
1,worker,n.,勞工
1,world,n.,世界
1,worry,v./n.,擔心
1,write,v.,寫
1,writer,n.,作家
1,wrong,adj./adv./n./v.,錯誤的
1,yard,n.,庭院
1,year,n.,年
1,yellow,adj./n./v.,黃色的
1,yes/yeah,adv./n.,是/是
1,yesterday,adv./n.,昨天
1,yet,adv./conj.,然而
1,"you (your, yours, yourself, yourselves)",pron.,你（你的，你的，你自己，你自己）
1,young,adj./n.,年輕的
1,zero,n.,零
1,zoo,n.,動物園
2,absence,n.,缺席
2,absent,adj./v.,缺席的
2,accept,v.,接受
2,accident,n.,意外事故
2,account,n./v.,帳戶
2,active,adj.,積極的
2,activity,n.,活動
2,actual,adj.,實際的
2,addition,n.,添加
2,address,v./n.,地址
2,admit,v.,承認
2,adult,n./adj.,成人
2,advance,n./v.,進步
2,advice,n.,建議
2,affair,n.,事務
2,affect,v.,影響
2,against,prep.,反對
2,ahead,adv.,前面
2,aid,n./v.,援助
2,aim,n./v.,目的
2,aircraft,n.,飛機
2,alarm,n./v.,警報
2,album,n.,專輯
2,alike,adv./adj.,一樣
2,alive,adj.,活
2,alone,adv./adj.,獨自的
2,aloud,adv.,大聲地
2,altogether,adv.,共
2,among,prep.,之中
2,amount,n./v.,數量
2,ancient,adj.,古老的
